TableName,SeriesCode,LineNumber,LineDescription,TimePeriod,METRIC_NAME,CL_UNIT,UNIT_MULT,DataValue,NoteRef
T10101,A191RL,1,Gross domestic product,1991Q1,Fisher Quantity Index,"Percent change, annual rate",0,-1.9,T10101
T10101,A191RL,1,Gross domestic product,1991Q2,Fisher Quantity Index,"Percent change, annual rate",0,3.2,T10101
T10101,A191RL,1,Gross domestic product,1991Q3,Fisher Quantity Index,"Percent change, annual rate",0,2.0,T10101
T10101,A191RL,1,Gross domestic product,1991Q4,Fisher Quantity Index,"Percent change, annual rate",0,1.4,T10101
T10101,A191RL,1,Gross domestic product,1992Q1,Fisher Quantity Index,"Percent change, annual rate",0,4.9,T10101
T10101,A191RL,1,Gross domestic product,1992Q2,Fisher Quantity Index,"Percent change, annual rate",0,4.4,T10101
T10101,A191RL,1,Gross domestic product,1992Q3,Fisher Quantity Index,"Percent change, annual rate",0,4.0,T10101
T10101,A191RL,1,Gross domestic product,1992Q4,Fisher Quantity Index,"Percent change, annual rate",0,4.2,T10101
T10101,A191RL,1,Gross domestic product,1993Q1,Fisher Quantity Index,"Percent change, annual rate",0,0.7,T10101
T10101,A191RL,1,Gross domestic product,1993Q2,Fisher Quantity Index,"Percent change, annual rate",0,2.3,T10101
T10101,A191RL,1,Gross domestic product,1993Q3,Fisher Quantity Index,"Percent change, annual rate",0,1.9,T10101
T10101,A191RL,1,Gross domestic product,1993Q4,Fisher Quantity Index,"Percent change, annual rate",0,5.6,T10101
T10101,A191RL,1,Gross domestic product,1994Q1,Fisher Quantity Index,"Percent change, annual rate",0,3.9,T10101
T10101,A191RL,1,Gross domestic product,1994Q2,Fisher Quantity Index,"Percent change, annual rate",0,5.5,T10101
T10101,A191RL,1,Gross domestic product,1994Q3,Fisher Quantity Index,"Percent change, annual rate",0,2.4,T10101
T10101,A191RL,1,Gross domestic product,1994Q4,Fisher Quantity Index,"Percent change, annual rate",0,4.7,T10101
T10101,A191RL,1,Gross domestic product,1995Q1,Fisher Quantity Index,"Percent change, annual rate",0,1.4,T10101
T10101,A191RL,1,Gross domestic product,1995Q2,Fisher Quantity Index,"Percent change, annual rate",0,1.2,T10101
T10101,A191RL,1,Gross domestic product,1995Q3,Fisher Quantity Index,"Percent change, annual rate",0,3.5,T10101
T10101,A191RL,1,Gross domestic product,1995Q4,Fisher Quantity Index,"Percent change, annual rate",0,2.7,T10101
T10101,A191RL,1,Gross domestic product,1996Q1,Fisher Quantity Index,"Percent change, annual rate",0,3.0,T10101
T10101,A191RL,1,Gross domestic product,1996Q2,Fisher Quantity Index,"Percent change, annual rate",0,6.8,T10101
T10101,A191RL,1,Gross domestic product,1996Q3,Fisher Quantity Index,"Percent change, annual rate",0,3.6,T10101
T10101,A191RL,1,Gross domestic product,1996Q4,Fisher Quantity Index,"Percent change, annual rate",0,4.2,T10101
T10101,A191RL,1,Gross domestic product,1997Q1,Fisher Quantity Index,"Percent change, annual rate",0,2.6,T10101
T10101,A191RL,1,Gross domestic product,1997Q2,Fisher Quantity Index,"Percent change, annual rate",0,6.8,T10101
T10101,A191RL,1,Gross domestic product,1997Q3,Fisher Quantity Index,"Percent change, annual rate",0,5.1,T10101
T10101,A191RL,1,Gross domestic product,1997Q4,Fisher Quantity Index,"Percent change, annual rate",0,3.5,T10101
T10101,A191RL,1,Gross domestic product,1998Q1,Fisher Quantity Index,"Percent change, annual rate",0,4.1,T10101
T10101,A191RL,1,Gross domestic product,1998Q2,Fisher Quantity Index,"Percent change, annual rate",0,3.8,T10101
T10101,A191RL,1,Gross domestic product,1998Q3,Fisher Quantity Index,"Percent change, annual rate",0,5.1,T10101
T10101,A191RL,1,Gross domestic product,1998Q4,Fisher Quantity Index,"Percent change, annual rate",0,6.6,T10101
T10101,A191RL,1,Gross domestic product,1999Q1,Fisher Quantity Index,"Percent change, annual rate",0,3.8,T10101
T10101,A191RL,1,Gross domestic product,1999Q2,Fisher Quantity Index,"Percent change, annual rate",0,3.4,T10101
T10101,A191RL,1,Gross domestic product,1999Q3,Fisher Quantity Index,"Percent change, annual rate",0,5.4,T10101
T10101,A191RL,1,Gross domestic product,1999Q4,Fisher Quantity Index,"Percent change, annual rate",0,6.7,T10101
T10101,A191RL,1,Gross domestic product,2000Q1,Fisher Quantity Index,"Percent change, annual rate",0,1.5,T10101
T10101,A191RL,1,Gross domestic product,2000Q2,Fisher Quantity Index,"Percent change, annual rate",0,7.5,T10101
T10101,A191RL,1,Gross domestic product,2000Q3,Fisher Quantity Index,"Percent change, annual rate",0,0.4,T10101
T10101,A191RL,1,Gross domestic product,2000Q4,Fisher Quantity Index,"Percent change, annual rate",0,2.4,T10101
T10101,A191RL,1,Gross domestic product,2001Q1,Fisher Quantity Index,"Percent change, annual rate",0,-1.3,T10101
T10101,A191RL,1,Gross domestic product,2001Q2,Fisher Quantity Index,"Percent change, annual rate",0,2.5,T10101
T10101,A191RL,1,Gross domestic product,2001Q3,Fisher Quantity Index,"Percent change, annual rate",0,-1.6,T10101
T10101,A191RL,1,Gross domestic product,2001Q4,Fisher Quantity Index,"Percent change, annual rate",0,1.1,T10101
T10101,A191RL,1,Gross domestic product,2002Q1,Fisher Quantity Index,"Percent change, annual rate",0,3.4,T10101
T10101,A191RL,1,Gross domestic product,2002Q2,Fisher Quantity Index,"Percent change, annual rate",0,2.5,T10101
T10101,A191RL,1,Gross domestic product,2002Q3,Fisher Quantity Index,"Percent change, annual rate",0,1.6,T10101
T10101,A191RL,1,Gross domestic product,2002Q4,Fisher Quantity Index,"Percent change, annual rate",0,0.5,T10101
T10101,A191RL,1,Gross domestic product,2003Q1,Fisher Quantity Index,"Percent change, annual rate",0,2.1,T10101
T10101,A191RL,1,Gross domestic product,2003Q2,Fisher Quantity Index,"Percent change, annual rate",0,3.6,T10101
T10101,A191RL,1,Gross domestic product,2003Q3,Fisher Quantity Index,"Percent change, annual rate",0,6.8,T10101
T10101,A191RL,1,Gross domestic product,2003Q4,Fisher Quantity Index,"Percent change, annual rate",0,4.7,T10101
T10101,A191RL,1,Gross domestic product,2004Q1,Fisher Quantity Index,"Percent change, annual rate",0,2.3,T10101
T10101,A191RL,1,Gross domestic product,2004Q2,Fisher Quantity Index,"Percent change, annual rate",0,3.1,T10101
T10101,A191RL,1,Gross domestic product,2004Q3,Fisher Quantity Index,"Percent change, annual rate",0,3.8,T10101
T10101,A191RL,1,Gross domestic product,2004Q4,Fisher Quantity Index,"Percent change, annual rate",0,4.1,T10101
T10101,A191RL,1,Gross domestic product,2005Q1,Fisher Quantity Index,"Percent change, annual rate",0,4.5,T10101
T10101,A191RL,1,Gross domestic product,2005Q2,Fisher Quantity Index,"Percent change, annual rate",0,2.0,T10101
T10101,A191RL,1,Gross domestic product,2005Q3,Fisher Quantity Index,"Percent change, annual rate",0,3.2,T10101
T10101,A191RL,1,Gross domestic product,2005Q4,Fisher Quantity Index,"Percent change, annual rate",0,2.2,T10101
T10101,A191RL,1,Gross domestic product,2006Q1,Fisher Quantity Index,"Percent change, annual rate",0,5.5,T10101
T10101,A191RL,1,Gross domestic product,2006Q2,Fisher Quantity Index,"Percent change, annual rate",0,1.0,T10101
