"symbol","name","stockPrice","peRatio","marketCapitalization","divYield","revenueGrowth3yr","incomeGrowth3yr"
"TVK","TerraVest Industries Inc.",147.07,0,3189315164,0.5439586591419052,35.39,23.47
"CCA","Cogeco Communications Inc. Subordinate Voting Shares",72.36,9.44,3062841200,5.456053067993366,-7.71,2.33
"CRR.UN","Crombie Real Estate Investment Trust Units",16.36,,3058888799,5.50122249388753,6.26,
"BHC","Bausch Health Companies Inc.",8.09,13.91,3005410146,,8.11,
"HWX","Headwater Exploration Inc.",12.56,16.51,2998861735,3.5031847133757963,7.15,
"SXGC","Southern Cross Gold Consolidated Ltd.",11.47,,2970204078,,,
"HR.UN","H&R Real Estate Investment Trust Units",10.43,,2895071433,5.752636625119846,9.68,
"FRU","Freehold Royalties Ltd.",17.59,21.58,2884062275,6.139852188743604,-4.51,
"BLX","Boralex Inc. Class A Shares",27.76,,2852488821,2.377521613832853,2.58,
"RPR.DB","Ravelin Properties REIT 9.00% Convertible Unsecured Subordinated Debentures",33,,2832971493,,-1.88,
"WPK","Winpak Ltd.",48.18,16.6,2826359250,0.41511000415110005,-1.6,6.6
"ABRA","AbraSilver Resource Corp.",17.61,,2815478206,,,
"CIA","Champion Iron Limited",5.22,14.28,2783570225,,12.14,36.82
"BB","BlackBerry Limited",4.63,,2731700000,,-10.42,
"EIT.UN","Canoe EIT Income Fund Trust Units",17.19,17.26,2725646400,6.980802792321117,13.92,13.65
"RUS","Russel Metals Inc.",48.04,15.86,2695044000,3.5803497085761866,-2.9,138.93
"NWC","North West Company Inc. (The) Variable Voting and Common Voting Shares",55.98,19.3,2662188743,2.9296177206145053,4.19,14.21
"VNP","5N Plus Inc.",29.66,42.59,2641936353,,13.96,
"CNL","Collective Mining Ltd.",28.41,,2621241519,,,
"EXE","Extendicare Inc.",26.58,24.01,2510691221,1.8961625282167043,7.86,8.22
"CURA","Curaleaf Holdings, Inc. Subordinate Voting Shares",3.19,,2472057040,,-0.53,
"BDGI","Badger Infrastructure Solutions Ltd.",73.11,28.28,2466748800,1.0258514567090686,14.57,
"SLS","Solaris Resources Inc.",14.7,,2453384959,,-100,
"ARE","Aecon Group Inc.",38.01,367.8,2405545560,1.9994738226782425,4.53,-25.17
